#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
8384,120979231,PPARG,-,-,EnsemblRapid:ENSBBFG00005021181,9,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240321,-
8384,120981184,FTO,-,-,EnsemblRapid:ENSBBFG00005022244,10,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20240411,-
8407,120917445,FTO,-,-,EnsemblRapid:ENSRTEG00010006959,11,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20240411,-
8407,120936552,ADIPOQ,-,-,EnsemblRapid:ENSRTEG00010033567,4,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240321,-
8407,120940621,MC4R,-,-,-,5,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240321,-
8407,120945275,PPARG,-,-,EnsemblRapid:ENSRTEG00010003401,7,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240321,-
8407,120946055,LEPR,-,-,EnsemblRapid:ENSRTEG00010010838,7,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240321,-
8467,125620830,FTO,-,-,EnsemblRapid:ENSCECG00000004225,12,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20240411,-
8467,125632050,MC4R,-,-,EnsemblRapid:ENSCECG00000012662,2,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20250129,-
8467,125640259,PPARG,-,-,EnsemblRapid:ENSCECG00000019599,7,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20250129,-
8467,125641660,LEPR,-,-,EnsemblRapid:ENSCECG00000017406,8,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240322,-
8467,125642932,ADIPOQ,-,-,EnsemblRapid:ENSCECG00000012965,9,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240322,-
8469,102932110,FTO,UY3_01511,-,EnsemblRapid:ENSCMYG00015014223,12,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO|Alpha-ketoglutarate-dependent dioxygenase FTO,20240411,-
8469,102933129,MC4R,UY3_13631,-,EnsemblRapid:ENSCMYG00015005657,2,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4|Melanocortin receptor 4,20240310,-
8469,102945650,LEPR,UY3_10457,-,EnsemblRapid:ENSCMYG00015021915,8,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240310,-
8469,102947653,PPARG,UY3_03904,-,EnsemblRapid:ENSCMYG00015015388,7,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240310,-
8478,101930880,PPARG,-,-,Ensembl:ENSCPBG00000026361,7,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20241118,-
8478,101935762,ADIPOQ,-,-,Ensembl:ENSCPBG00000019218,9,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20241203,-
8478,101940602,MC4R,-,-,Ensembl:ENSCPBG00000000647,2,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20241118,-
8478,101943551,FTO,-,-,Ensembl:ENSCPBG00000012192,14,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20241203,-
8478,101951158,LEPR,-,-,Ensembl:ENSCPBG00000001180,8,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20241203,-
8496,102565056,MC4R,Y1Q_0008082,-,EnsemblRapid:ENSAMIG00015006828,3,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240508,-
8496,102565118,FTO,Y1Q_0021247,-,EnsemblRapid:ENSAMIG00015002194,10,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20241203,-
8496,102567366,LEPR,Y1Q_0020921,LEPR-1,EnsemblRapid:ENSAMIG00015018888,5,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240508,-
8496,102575176,PPARG,Y1Q_0013936,-,EnsemblRapid:ENSAMIG00015005965,12,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240508,-
8496,102575383,ADIPOQ,Y1Q_0021903,-,EnsemblRapid:ENSAMIG00015008042,7,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240508,-
8502,109307566,LEPR,-,-,Ensembl:ENSCPRG00005011098,Un,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240314,-
8502,109310512,FTO,-,-,Ensembl:ENSCPRG00005003411,Un,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20240411,-
8502,109311369,PPARG,-,-,Ensembl:ENSCPRG00005019174,Un,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240314,-
8520,121914768,FTO,-,-,-,8,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20240411,-
8520,121923490,PPARG,-,-,-,2,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240322,-
8520,121927510,LEPR,-,-,-,4,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240322,-
8520,121928738,MC4R,-,-,-,4,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240322,-
8524,118080667,PPARG,-,-,EnsemblRapid:ENSZVIG00000015551,2,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240320,-
8524,118086926,FTO,-,-,EnsemblRapid:ENSZVIG00000017840,6,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20240411,-
8524,118088495,LEPR,-,-,-,7,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240320,-
8524,118090057,MC4R,-,-,EnsemblRapid:ENSZVIG00000003430,8,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240320,-
8524,118094069,ADIPOQ,-,-,EnsemblRapid:ENSZVIG00000004556,5,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240320,-
8663,113410929,LEPR,-,-,-,Un,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240315,-
8663,113417160,MC4R,-,-,Ensembl:ENSNSUG00000018876,Un,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240315,-
8663,113418162,PPARG,-,-,Ensembl:ENSNSUG00000020114,Un,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240315,-
8663,113422620,FTO,-,-,-,Un,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,LOW QUALITY PROTEIN: alpha-ketoglutarate-dependent dioxygenase FTO,20240411,-
8663,113432792,ADIPOQ,-,-,Ensembl:ENSNSUG00000013741,Un,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240315,-
8673,113436451,MC4R,-,-,Ensembl:ENSPTXG00000018350,Un,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240315,-
8673,113436828,ADIPOQ,-,-,Ensembl:ENSPTXG00000001369,Un,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240315,-
8673,113445026,FTO,-,-,Ensembl:ENSPTXG00000009544,Un,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,LOW QUALITY PROTEIN: alpha-ketoglutarate-dependent dioxygenase FTO,20240411,-
8673,113452816,PPARG,-,-,Ensembl:ENSPTXG00000007067,Un,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240315,-
8790,112982856,PPARG,-,-,Ensembl:ENSDNVG00000001690,12,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20241203,-
8790,112984394,FTO,-,-,Ensembl:ENSDNVG00000016703,13,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20241203,-
8790,112988869,ADIPOQ,-,-,Ensembl:ENSDNVG00000001025,9,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20241203,-
8790,112991475,LEPR,-,-,Ensembl:ENSDNVG00000000111,8,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20241203,-
8790,112992527,MC4R,-,-,Ensembl:ENSDNVG00000018419,2,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240419,-
8795,134136240,MC4R,-,-,EnsemblRapid:ENSPPEG00010003877,2,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240626,-
8795,134143262,LEPR,-,-,EnsemblRapid:ENSPPEG00010000687,8,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240626,-
8795,134144321,ADIPOQ,-,-,EnsemblRapid:ENSPPEG00010002952,9,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240626,-
8795,134145610,PPARG,-,-,EnsemblRapid:ENSPPEG00010001868,12,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240626,-
8795,134146033,FTO,-,-,EnsemblRapid:ENSPPEG00010006437,13,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20240626,-
8801,104140625,MC4R,N308_05955,-,Ensembl:ENSSCUG00000008896,2,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4|Melanocortin receptor 4,20241121,-
8801,104143575,ADIPOQ,N308_10899,-,-,9,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20241121,-
8801,104146407,FTO,N308_03932,-,Ensembl:ENSSCUG00000011569,10,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO|Alpha-ketoglutarate-dependent dioxygenase FTO,20241203,-
8801,104152697,PPARG,N308_01929,-,Ensembl:ENSSCUG00000015050,14,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20241203,-
8801,104153112,LEPR,N308_08005,-,Ensembl:ENSSCUG00000004230,8,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20241203,-
8839,101790364,LEPR,Anapl_18249,-,EnsemblRapid:ENSAPLG00030000079,8,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240308,-
8839,101792429,PPARG,Anapl_13657,PPARgamma,EnsemblRapid:ENSAPLG00030012218,13,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma|putative peroxisome proliferator-activated receptor gamma,20240308,-
8839,101793277,MC4R,Anapl_16375,-,EnsemblRapid:ENSAPLG00030002031,2,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4|Melanocortin receptor 4|melanocortin receptor-4,20240308,-
8839,101803075,ADIPOQ,Anapl_14762,adp,-,9,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240308,-
8839,101805387,FTO,Anapl_11989,-,EnsemblRapid:ENSAPLG00030022665,12,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO|Protein fto,20240411,-
8845,106039909,MC4R,-,-,EnsemblRapid:ENSACDG00000009752,2,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240807,-
8845,106040065,PPARG,-,PPARgama|PPARgamma,EnsemblRapid:ENSACDG00000013138,10,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20241010,-
8845,106040284,ADIPOQ,-,-,EnsemblRapid:ENSACDG00000011190,9,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20241203,-
8845,106043619,LEPR,-,-,EnsemblRapid:ENSACDG00000007753,8,-,leptin receptor,protein-coding,-,-,-,leptin receptor|leptin receptor protein,20241203,-
8845,106045277,FTO,-,-,EnsemblRapid:ENSACDG00000013824,12,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20241203,-
8868,118246297,FTO,-,-,EnsemblRapid:ENSACYG00000010943,12,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20240411,-
8868,118247137,ADIPOQ,-,-,EnsemblRapid:ENSACYG00000010366,9,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240320,-
8868,118253741,PPARG,-,-,EnsemblRapid:ENSACYG00000014196,10,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240320,-
8868,118256935,LEPR,-,-,EnsemblRapid:ENSACYG00000007167,8,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240320,-
8868,118258437,MC4R,-,-,EnsemblRapid:ENSACYG00000005122,2,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240320,-
8869,121066208,MC4R,-,-,EnsemblRapid:ENSCOLG00015009237,2,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240322,-
8869,121073727,LEPR,-,-,EnsemblRapid:ENSCOLG00015000053,8,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240322,-
8869,121074830,ADIPOQ,-,-,EnsemblRapid:ENSCOLG00015001325,9,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240322,-
8869,121075764,PPARG,-,-,EnsemblRapid:ENSCOLG00015007368,10,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240322,-
8869,121076513,FTO,-,-,EnsemblRapid:ENSCOLG00015002850,12,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20240411,-
8884,118163117,MC4R,-,-,EnsemblRapid:ENSOJMG00000002192,2,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240320,-
8884,118170957,LEPR,-,-,EnsemblRapid:ENSOJMG00000000047,8,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240320,-
8884,118171200,ADIPOQ,-,-,EnsemblRapid:ENSOJMG00000006129,9,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240320,-
8884,118172546,FTO,-,-,EnsemblRapid:ENSOJMG00000016189,11,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20240411,-
8884,118173365,PPARG,-,-,EnsemblRapid:ENSOJMG00000016571,12,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240320,-
8895,127380984,MC4R,-,-,EnsemblRapid:ENSUUUG00000000794,2,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240803,-
8895,127387310,LEPR,-,-,EnsemblRapid:ENSUUUG00000002030,7,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240803,-
8895,127387973,ADIPOQ,-,-,EnsemblRapid:ENSUUUG00000006424,8,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240803,-
8895,127388080,PPARG,-,-,EnsemblRapid:ENSUUUG00000000486,9,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240803,-
8895,127389221,FTO,-,-,EnsemblRapid:ENSUUUG00000004554,11,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20240803,-
8897,104388589,FTO,M959_09697,-,-,Un,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO|Alpha-ketoglutarate-dependent dioxygenase FTO,20240803,-
8897,104391572,MC4R,M959_00507,-,-,Un,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4|Melanocortin receptor 4,20240803,-
8897,104395380,ADIPOQ,M959_05044,-,-,Un,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240803,-
8897,104397959,LEPR,M959_04936,-,-,Un,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240803,-
8897,104398704,PPARG,M959_11317,-,-,Un,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240803,-
8932,102083406,LEPR,A306_13588,-,-,8,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20241203,-
8932,102092308,MC4R,-,-,-,2,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4|Melanocortin receptor 4,20241203,-
8932,102096916,ADIPOQ,-,-,-,9,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240803,-
8932,102097513,PPARG,A306_15428,PPARgamma,-,10,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20241203,-
8932,110360385,FTO,A306_01631,-,-,13,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO|Protein fto,20240803,-
8954,101910818,FTO,-,-,EnsemblRapid:ENSFPEG00020002587,14,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO|putative protein,20240803,-
8954,101911405,PPARG,-,-,EnsemblRapid:ENSFPEG00020007172,5,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240803,-
8954,101914418,MC4R,-,-,EnsemblRapid:ENSFPEG00020001457,3,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240803,-
8954,101921754,LEPR,-,-,EnsemblRapid:ENSFPEG00020000071,10,-,leptin receptor,protein-coding,-,-,-,leptin receptor|putative protein,20240803,-
8954,101924926,ADIPOQ,-,-,EnsemblRapid:ENSFPEG00020008854,12,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240803,-
8957,126039279,ADIPOQ,-,-,-,6,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240803,-
8957,126041292,FTO,-,-,-,7,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20240803,-
8957,126042162,LEPR,-,-,-,8,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240803,-
8957,126048618,MC4R,-,-,-,20,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240803,-
8957,126049793,PPARG,-,-,-,23,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240803,-
8969,104310453,ADIPOQ,N329_12720,-,EnsemblRapid:ENSHALG00015006810,9,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20241119,-
8969,104312234,MC4R,N329_11142,-,EnsemblRapid:ENSHALG00015013406,21,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4|Melanocortin receptor 4,20241120,-
8969,104316809,PPARG,N329_09628,-,EnsemblRapid:ENSHALG00015005860,24,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20241203,-
8969,104321315,LEPR,N329_03922,-,EnsemblRapid:ENSHALG00015012388,8,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20241203,-
8969,104321602,FTO,N329_12538,-,EnsemblRapid:ENSHALG00015012061,10,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO|Alpha-ketoglutarate-dependent dioxygenase FTO,20241203,-
8996,110394189,MC4R,-,-,-,2,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240315,-
8996,110398374,ADIPOQ,-,-,Ensembl:ENSNMEG00000015318,4,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240315,-
8996,110402409,LEPR,-,-,Ensembl:ENSNMEG00000009606,7,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240315,-
8996,110404277,FTO,-,-,Ensembl:ENSNMEG00000016795,10,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20240411,-
8996,110404711,PPARG,-,-,Ensembl:ENSNMEG00000013440,11,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240315,-
9002,122160814,LEPR,-,-,-,Un,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240322,-
9002,122161364,ADIPOQ,-,-,-,Un,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240322,-
9002,122161884,FTO,-,-,-,Un,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20240411,-
9002,122162874,PPARG,-,-,-,Un,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240322,-
9002,122171993,MC4R,-,-,-,Un,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240322,-
9017,136046631,FTO,-,-,-,Un,-,FTO alpha-ketoglutarate dependent dioxygenase,protein-coding,-,-,-,alpha-ketoglutarate-dependent dioxygenase FTO,20240619,-
9017,136049204,LEPR,-,-,-,Un,-,leptin receptor,protein-coding,-,-,-,leptin receptor,20240619,-
9017,136055982,ADIPOQ,-,-,-,Un,-,"adiponectin, C1Q and collagen domain containing",protein-coding,-,-,-,adiponectin,20240619,-
9017,136057097,PPARG,-,-,-,Un,-,peroxisome proliferator activated receptor gamma,protein-coding,-,-,-,peroxisome proliferator-activated receptor gamma,20240619,-
9017,136058443,MC4R,-,-,-,Un,-,melanocortin 4 receptor,protein-coding,-,-,-,melanocortin receptor 4,20240619,-
9031,373928,PPARG,-,PPARgamma|PPARgamma2,CGNC:3698|Ensembl:ENSGALG00010027917,12,-,peroxisome proliferator-activated receptor gamma,protein-coding,PPARG,peroxisome proliferator-activated receptor gamma,O,"peroxisome proliferator-activated receptor gamma|peroxisome proliferative activated receptor, gamma",20241203,-
9031,374223,LEPR,-,LPR,CGNC:49091|Ensembl:ENSGALG00010024165,8,-,leptin receptor,protein-coding,LEPR,leptin receptor,I,leptin receptor,20241203,-
9031,404536,ADIPOQ,-,-,CGNC:4139|Ensembl:ENSGALG00010025618,9,-,"adiponectin, C1Q and collagen domain containing",protein-coding,ADIPOQ,"adiponectin, C1Q and collagen domain containing",I,adiponectin,20240817,-
9031,415718,FTO,-,-,CGNC:2623|Ensembl:ENSGALG00010021200,11,-,"FTO, alpha-ketoglutarate dependent dioxygenase",protein-coding,FTO,"FTO, alpha-ketoglutarate dependent dioxygenase",I,alpha-ketoglutarate-dependent dioxygenase FTO|alpha-ketoglutarate dependent dioxygenase FTO|fat mass and obesity associated|protein fto,20241203,-
